title,isbn13,authors
Harry Potter and the Half-Blood Prince (Harry Potter #6),9780439785969,J.K. Rowling
Harry Potter and the Half-Blood Prince (Harry Potter #6),9780439785969,Mary GrandPré
Harry Potter and the Order of the Phoenix (Harry Potter #5),9780439358071,J.K. Rowling
Harry Potter and the Order of the Phoenix (Harry Potter #5),9780439358071,Mary GrandPré
Harry Potter and the Chamber of Secrets (Harry Potter #2),9780439554893,J.K. Rowling
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),9780439655484,J.K. Rowling
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),9780439655484,Mary GrandPré
Harry Potter Boxed Set Books 1-5 (Harry Potter #1-5),9780439682589,J.K. Rowling
Harry Potter Boxed Set Books 1-5 (Harry Potter #1-5),9780439682589,Mary GrandPré
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",9780976540601,W. Frederick Zimmerman
Harry Potter Collection (Harry Potter #1-6),9780439827607,J.K. Rowling
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5),9780517226957,Douglas Adams
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),9780345453747,Douglas Adams
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),9780517149256,Douglas Adams
A Short History of Nearly Everything,9780767908184,Bill Bryson
Bill Bryson's African Diary,9780767915069,Bill Bryson
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,9780767910439,Bill Bryson
In a Sunburned Country,9780767903868,Bill Bryson
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,9780767903820,Bill Bryson
The Lost Continent: Travels in Small Town America,9780060920081,Bill Bryson
Neither Here nor There: Travels in Europe,9780380713806,Bill Bryson
Notes from a Small Island,9780380727506,Bill Bryson
The Mother Tongue: English and How It Got That Way,9780380715435,Bill Bryson
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,9780345538376,J.R.R. Tolkien
